,smiles,abbr,O_count,C:O,wbx_li_ebind,bp86_li_ebind,wbx_na_ebind,bp86_na_ebind,wbx_mg_ebind,bp86_mg_ebind,wbx_mol_homo,bp86_mol_homo,wbx_li_homo,bp86_li_homo,wbx_na_homo,bp86_na_homo,wbx_mg_homo,bp86_mg_homo,wbx_li_dipole,bp86_li_dipole,wbx_na_dipole,bp86_na_dipole,wbx_mg_dipole,bp86_mg_dipole,wbx_mol_abs_energy,bp86_mol_abs_energy
136,COCOCOCOCOCOC,1:1:1:1:1:1:1,6,1.1666666666666667,-3.353471021819132,-4.000669314129482,-2.319533406978735,-2.93508830504652,-10.36048002930329,-11.235766096782754,-10.112050009815551,-6.2766597097881505,-14.13111715893045,-10.4177154980822,-13.756280329866701,-9.99574855011185,-18.6732143400914,-14.825497282636348,1.918603102857167,1.773561437671716,2.0280677171813535,1.0102590453210187,2.137130417892937,2.2705941185877623,-727.759342294033,-727.165445320704
137,COCCOCOCOCOCOC,1:2:1:1:1:1:1,6,1.3333333333333333,-3.5805441255361075,-4.375308764840156,-2.555039739370841,-3.29160328719081,-10.951793121934315,-11.826589717325987,-9.7984387971143,-5.949034633786151,-14.01721030111115,-10.09751913019885,-13.57861719687525,-9.7579482561599,-18.279030216257098,-14.462497406069351,2.104983551805833,1.5383678627630268,2.288117826454957,2.1228004642314953,1.4082292927602342,2.1350844241295674,-767.070747331892,-766.444601444927
138,COCCCOCOCOCOCOC,1:3:1:1:1:1:1,6,1.5,-3.8491146235828637,-4.586187792760029,-2.768470897717634,-3.437882622154575,-11.308972982282285,-12.178594157023326,-9.70496768946755,-5.73313950479945,-13.5978012233355,-9.75002974311035,-13.251699616884551,-9.52689638570035,-17.930425162381553,-14.1479065835063,1.1102624578358595,0.9597128905607379,0.9966471232907691,1.5221958181244655,0.10523429202657486,0.31302626870508937,-806.383527468892,-805.7318913935
139,COCOCCOCOCOCOC,1:1:2:1:1:1:1,6,1.3333333333333333,-3.5185002869693562,-4.187065791040368,-2.410638338962599,-3.178404346002935,-11.079271503727796,-11.949596016362193,-9.75095493020205,-5.8893056436014,-13.9016435488038,-10.2569506352068,-13.6049306062186,-9.90377406864285,-18.278077817780353,-14.49400818995725,1.9861476574237222,2.367101306679417,0.9726053667532644,1.3102058802174261,1.4363040451571611,1.4259519250356862,-767.070216220623,-766.446811982158
140,COCCOCCOCOCOCOC,1:2:2:1:1:1:1,6,1.5,-4.056565972561657,-4.667636823647626,-2.9680066849723516,-3.5481264083755377,-11.817311273614905,-12.677997843973571,-9.52782157279205,-5.7555888974657,-13.6961431689062,-9.8927534576976,-13.435403677357101,-9.66736155532845,-18.03148824645725,-14.177485359055648,1.6175497566768946,1.4642078648814454,1.7287698196323154,1.463563045013747,2.740132768541168,2.3505881441392944,-806.37445079843,-805.724142610977
141,COCCCOCCOCOCOCOC,1:3:2:1:1:1:1,6,1.6666666666666667,-4.079525593544531,-4.7839297822720255,-2.9629921953637677,-3.598753985683288,-5.413021019565349,-6.8424963955294515,-9.393016371254351,-5.68377805231875,-13.426587188600902,-9.686491159018601,-13.3196464453544,-9.55046144515365,-13.487676748038151,-11.51381729928125,1.4134596983642096,1.1620814045963415,1.0543014303011573,1.0117854957914407,41.46150478970896,21.62190902553717,-845.696873618784,-845.01529474719
142,COCOCCCOCOCOCOC,1:1:3:1:1:1:1,6,1.5,-3.6504271457924915,-4.295426389606291,-2.6230883893585997,-3.1919923173663847,-11.328888786290918,-12.18704219357096,-9.89577392143815,-5.9864502882299,-13.78689313804795,-9.97272771835955,-13.53888857470225,-9.8105750748466,-17.85597481288475,-14.140586720927852,1.6776752759616151,1.7866721449633671,2.1635896538412354,2.1214827654376216,1.9106985818045967,1.5226986176402633,-806.390493535904,-805.738820116168
143,COCCOCCCOCOCOCOC,1:2:3:1:1:1:1,6,1.6666666666666667,-4.2327987502358155,-4.72429498105339,-3.129777281679708,-3.5800743247455102,-12.278856080836704,-12.935690688620525,-9.32270215228515,-5.8120797328295,-13.5293918013198,-9.74992089757015,-13.083995850821399,-9.44689491365335,-17.90261512686045,-13.9788694595757,1.7369112650258278,1.375968074398671,1.3737090282555957,1.2204504409703967,1.9583700384070548,1.9431365345442775,-845.690962582976,-845.016898275027
144,COCCCOCCCOCOCOCOC,1:3:3:1:1:1:1,6,1.8333333333333333,-3.967660657064698,-4.783317524350423,-2.81278876882061,-3.5562816125384415,-12.089935827862064,-13.088942508042237,-9.270265813293799,-5.4562636619157,-13.350041562455251,-9.5742169843023,-12.9941438573863,-9.2521974536206,-17.51975093920695,-13.799274318245699,1.2529328576354393,0.8327712710223933,1.5305576260337037,1.3990279871617994,1.168966627657495,0.9863196596024174,-885.022259546438,-884.309154565832
145,COCOCOCCOCOCOC,1:1:1:2:1:1:1,6,1.3333333333333333,-3.7497132322387188,-4.45172177681161,-2.661863950019324,-3.307937201279856,-11.074588116091036,-12.099632601541089,-9.886903009911851,-6.0703701997241,-14.071360957360652,-10.22889569722025,-13.77513781970635,-10.03291930209015,-18.3476573293532,-14.430251914785101,1.2108804542424065,1.3513330379746031,1.5975055518513015,1.7332824168208971,1.8182109006808183,0.15147670312557185,-767.067014926134,-766.443954038187
146,COCCOCOCCOCOCOC,1:2:1:2:1:1:1,6,1.5,-3.953261342678161,-4.535542832647479,-2.979990664312936,-3.4618456432872335,-11.893542816844274,-12.638074044458335,-9.43753419719615,-5.7143364377299,-13.6953268273547,-9.97321752329045,-13.4947789195362,-9.763880338100801,-17.95850731175315,-14.133647817740101,1.817174823479024,1.193714979035487,0.8888846524654874,1.3176189671654333,0.9239007751731972,0.9007830117947159,-806.3733912711,-805.726008744313
147,COCCCOCOCCOCOCOC,1:3:1:2:1:1:1,6,1.6666666666666667,-3.7867361056414666,-4.709346908428415,-2.644954014231189,-3.4951650097027596,-11.79500351885872,-12.847591444533464,-9.2928512628853,-5.727751650559551,-13.35357904251175,-9.5908703519529,-13.2855777912718,-9.5245834179711,-17.73412223063085,-13.8710579520076,1.3776284244016173,0.6615774183683887,1.223817467545334,1.3750773475681357,1.7860638839267793,1.8215346357988826,-845.701536835102,-845.015347368663
148,COCOCCOCCOCOCOC,1:1:2:2:1:1:1,6,1.5,-3.8354711503525323,-4.61591523874813,-2.7893250583401823,-3.4709495338465786,-11.757868090720876,-12.710350693181681,-9.6167755905205,-5.61330056503925,-13.698619404945749,-9.8981957347076,-13.395375729948551,-9.7022193395775,-18.0501280452165,-14.1900298075637,1.7429831164773393,2.375886798582722,1.8649944813918677,2.063546978594948,1.0122186974386191,1.0763532015909758,-806.3808843403,-805.726521369362
149,COCCOCCOCCOCOCOC,1:2:2:2:1:1:1,6,1.6666666666666667,-4.444299775324907,-5.059772155909741,-3.073497559686075,-3.8164740435022395,-12.475365224207053,-13.443911691229005,-9.2275439387653,-5.325322477055099,-13.57780085532375,-9.83492926446635,-12.874440974551352,-9.408880608738501,-17.6659577110806,-13.845288770365249,1.7717609251764985,1.95146064868596,0.831276348495916,1.1211736977635818,1.3819790882583332,1.518618497754376,-845.682100874053,-845.001847493687
150,COCCCOCCOCCOCOCOC,1:3:2:2:1:1:1,6,1.8333333333333333,-4.6248983465302445,-5.2440433373631095,-3.3285540478791518,-4.012632450900128,-11.455977297864592,-12.283515577841172,-9.527794361407,-5.5286459461487,-13.3742324837647,-9.5348148987499,-13.0770297362486,-9.3866216957676,-14.761496104998752,-11.6724324627377,1.392923102842784,1.7419954177576573,2.035855428108261,1.6663289675459128,7.175784212024991,4.697316369291381,-885.001591065351,-884.291934717824
